Date,US_RV,Europe_RV,Asia_RV,Cross_Region_Correlation,Dislocation_Score,Arbitrage_Opportunity,Spillover_Intensity
2025-03-04 21:16:36.693979,30.53,31.08,20.27,0.669,2.54,Yes,10.81
2025-03-05 21:16:36.693979,28.8,29.05,20.16,0.82,2.47,Yes,8.89
2025-03-06 21:16:36.693979,29.21,31.43,24.16,0.77,2.13,Yes,7.28
2025-03-07 21:16:36.693979,32.64,34.75,31.24,0.877,2.84,Yes,3.51
2025-03-08 21:16:36.693979,31.83,26.78,26.36,0.85,2.67,Yes,10.53
2025-03-09 21:16:36.693979,23.17,19.75,20.32,0.95,1.46,No,6.26
2025-03-10 21:16:36.693979,20.65,19.04,20.77,0.788,0.26,No,1.74
2025-03-11 21:16:36.693979,17.73,14.2,7.0,0.95,1.97,Yes,15.76
2025-03-12 21:16:36.693979,17.33,19.14,11.24,0.775,0.17,No,7.9
2025-03-13 21:16:36.693979,21.42,17.11,19.93,0.72,0.2,No,5.79
2025-03-14 21:16:36.693979,21.95,24.29,19.68,0.736,0.09,No,4.61
2025-03-15 21:16:36.693979,26.34,24.28,21.04,0.725,0.16,No,7.37
2025-03-16 21:16:36.693979,17.05,13.15,12.12,0.598,1.01,No,8.82
2025-03-17 21:16:36.693979,20.11,21.16,14.85,0.783,0.22,No,6.3
2025-03-18 21:16:36.693979,19.63,25.05,20.25,0.713,0.25,No,6.03
2025-03-19 21:16:36.693979,22.17,17.5,16.99,0.66,0.6,No,9.86
2025-03-20 21:16:36.693979,23.79,19.89,23.81,0.74,0.07,No,3.92
2025-03-21 21:16:36.693979,19.15,18.36,17.57,0.828,0.52,No,2.37
2025-03-22 21:16:36.693979,22.42,23.25,20.27,0.873,0.82,No,2.99
2025-03-23 21:16:36.693979,21.32,19.41,16.36,0.676,0.49,No,6.85
2025-03-24 21:16:36.693979,22.65,21.23,22.95,0.674,0.5,No,1.71
2025-03-25 21:16:36.693979,19.55,20.23,15.88,0.647,0.69,No,4.35
2025-03-26 21:16:36.693979,25.03,22.58,24.35,0.607,0.95,No,3.14
2025-03-27 21:16:36.693979,21.11,20.27,20.91,0.643,0.71,No,1.05
2025-03-28 21:16:36.693979,24.15,19.62,21.86,0.652,0.65,No,6.82
2025-03-29 21:16:36.693979,25.04,24.96,14.33,0.781,0.21,No,10.79
2025-03-30 21:16:36.693979,21.82,21.79,14.74,0.663,0.58,No,7.1
2025-03-31 21:16:36.693979,27.08,27.82,18.33,0.95,1.8,Yes,9.49
2025-04-01 21:16:36.693979,15.88,16.03,9.06,0.806,0.37,No,6.98
2025-04-02 21:16:36.693979,22.98,18.99,16.02,0.632,0.79,No,10.95
2025-04-03 21:16:36.693979,24.12,24.94,24.97,0.724,0.17,No,1.67
2025-04-04 21:16:36.693979,24.91,26.14,18.34,0.633,0.78,No,7.8
2025-04-05 21:16:36.693979,29.97,27.03,24.13,0.509,1.6,Yes,8.79
2025-04-06 21:16:36.693979,22.67,25.98,19.39,0.746,0.03,No,6.6
2025-04-07 21:16:36.693979,28.52,22.13,21.15,0.95,2.27,Yes,13.77
2025-04-08 21:16:36.693979,24.29,22.5,22.75,0.937,1.25,No,3.32
2025-04-09 21:16:36.693979,20.62,20.6,21.73,0.654,0.64,No,1.14
2025-04-10 21:16:36.693979,23.49,22.04,20.7,0.536,1.43,No,4.24
2025-04-11 21:16:36.693979,15.34,15.58,16.0,0.703,0.31,No,0.9
2025-04-12 21:16:36.693979,22.91,21.06,22.98,0.65,0.66,No,1.92
2025-04-13 21:16:36.693979,26.51,21.65,17.57,0.877,0.85,No,13.81
2025-04-14 21:16:36.693979,29.76,29.52,17.16,0.687,0.42,No,12.84
2025-04-15 21:16:36.693979,25.61,23.92,14.45,0.555,1.3,No,12.86
2025-04-16 21:16:36.693979,22.53,20.98,12.09,0.84,0.6,No,11.98
2025-04-17 21:16:36.693979,24.68,20.37,20.09,0.534,1.44,No,8.9
