Date,Total_Delta,Total_Gamma,Total_Vega,Total_Theta,Hedge_Shares_Needed,PnL_Delta,PnL_Gamma,PnL_Vega,PnL_Theta,Total_PnL
2025-03-04 21:16:36.693979,450.0,140.0,1270,-53,-450.0,-4423.0,6762.0,2565.0,-0.0,4904.0
2025-03-05 21:16:36.693979,450.0,140.0,1270,-53,-450.0,14038.0,68118.0,-2185.0,-0.0,79971.0
2025-03-06 21:16:36.693979,450.0,140.0,1270,-53,-450.0,2248.0,1746.0,-821.0,-0.0,3173.0
2025-03-07 21:16:36.693979,450.0,140.0,1270,-53,-450.0,-6273.0,13604.0,543.0,-0.0,7873.0
2025-03-08 21:16:36.693979,450.0,140.0,1270,-53,-450.0,10269.0,36450.0,860.0,-0.0,47579.0
2025-03-09 21:16:36.693979,450.0,140.0,1270,-53,-450.0,-2876.0,2858.0,981.0,-0.0,963.0
2025-03-10 21:16:36.693979,450.0,140.0,1270,-53,-450.0,-3240.0,3628.0,785.0,-0.0,1173.0
2025-03-11 21:16:36.693979,450.0,140.0,1270,-53,-450.0,12568.0,54603.0,-3957.0,-0.0,63214.0
2025-03-12 21:16:36.693979,450.0,140.0,1270,-53,-450.0,7175.0,17797.0,-2932.0,-0.0,22040.0
2025-03-13 21:16:36.693979,450.0,140.0,1270,-53,-450.0,11055.0,42246.0,-1214.0,-0.0,52087.0
2025-03-14 21:16:36.693979,450.0,140.0,1270,-53,-450.0,-10959.0,41516.0,1324.0,-0.0,31881.0
2025-03-15 21:16:36.693979,450.0,140.0,1270,-53,-450.0,3278.0,3713.0,-1903.0,-0.0,5087.0
2025-03-16 21:16:36.693979,450.0,140.0,1270,-53,-450.0,-11277.0,43960.0,-357.0,-0.0,32326.0
2025-03-17 21:16:36.693979,450.0,140.0,1270,-53,-450.0,-10837.0,40595.0,-2022.0,-0.0,27736.0
2025-03-18 21:16:36.693979,450.0,140.0,1270,-53,-450.0,1041.0,374.0,-1840.0,-0.0,-425.0
2025-03-19 21:16:36.693979,450.0,140.0,1270,-53,-450.0,3839.0,5094.0,2839.0,-0.0,11772.0
2025-03-20 21:16:36.693979,450.0,140.0,1270,-53,-450.0,-1337.0,618.0,248.0,-0.0,-471.0
2025-03-21 21:16:36.693979,450.0,140.0,1270,-53,-450.0,18163.0,114036.0,-2262.0,-0.0,129936.0
2025-03-22 21:16:36.693979,450.0,140.0,1270,-53,-450.0,10721.0,39733.0,2040.0,-0.0,52494.0
2025-03-23 21:16:36.693979,450.0,140.0,1270,-53,-450.0,7689.0,20436.0,2461.0,-0.0,30585.0
2025-03-24 21:16:36.693979,450.0,140.0,1270,-53,-450.0,2525.0,2204.0,-1110.0,-0.0,3619.0
2025-03-25 21:16:36.693979,450.0,140.0,1270,-53,-450.0,9851.0,33547.0,2158.0,-0.0,45556.0
2025-03-26 21:16:36.693979,450.0,140.0,1270,-53,-450.0,9948.0,34208.0,85.0,-0.0,44241.0
2025-03-27 21:16:36.693979,450.0,140.0,1270,-53,-450.0,-6446.0,14362.0,365.0,-0.0,8281.0
2025-03-28 21:16:36.693979,450.0,140.0,1270,-53,-450.0,8480.0,24858.0,1951.0,-0.0,35290.0
2025-03-29 21:16:36.693979,450.0,140.0,1270,-53,-450.0,-3867.0,5169.0,601.0,-0.0,1903.0
2025-03-30 21:16:36.693979,450.0,140.0,1270,-53,-450.0,-11779.0,47961.0,1876.0,-0.0,38058.0
2025-03-31 21:16:36.693979,450.0,140.0,1270,-53,-450.0,-7050.0,17180.0,1496.0,-0.0,11626.0
2025-04-01 21:16:36.693979,450.0,140.0,1270,-53,-450.0,-10344.0,36985.0,1965.0,-0.0,28606.0
2025-04-02 21:16:36.693979,450.0,140.0,1270,-53,-450.0,2897.0,2900.0,-1488.0,-0.0,4308.0
2025-04-03 21:16:36.693979,450.0,140.0,1270,-53,-450.0,6222.0,13383.0,-1125.0,-0.0,18481.0
2025-04-04 21:16:36.693979,450.0,140.0,1270,-53,-450.0,6746.0,15731.0,-522.0,-0.0,21955.0
2025-04-05 21:16:36.693979,450.0,140.0,1270,-53,-450.0,-15489.0,82936.0,-1872.0,-0.0,65575.0
2025-04-06 21:16:36.693979,450.0,140.0,1270,-53,-450.0,-3874.0,5187.0,2606.0,-0.0,3920.0
2025-04-07 21:16:36.693979,450.0,140.0,1270,-53,-450.0,8110.0,22738.0,3093.0,-0.0,33941.0
2025-04-08 21:16:36.693979,450.0,140.0,1270,-53,-450.0,14883.0,76566.0,-1019.0,-0.0,90430.0
2025-04-09 21:16:36.693979,450.0,140.0,1270,-53,-450.0,-1696.0,995.0,-783.0,-0.0,-1485.0
2025-04-10 21:16:36.693979,450.0,140.0,1270,-53,-450.0,-6044.0,12626.0,-3508.0,-0.0,3074.0
2025-04-11 21:16:36.693979,450.0,140.0,1270,-53,-450.0,-133.0,6.0,-2449.0,-0.0,-2576.0
2025-04-12 21:16:36.693979,450.0,140.0,1270,-53,-450.0,-308.0,33.0,4031.0,-0.0,3755.0
2025-04-13 21:16:36.693979,450.0,140.0,1270,-53,-450.0,-4584.0,7264.0,371.0,-0.0,3051.0
2025-04-14 21:16:36.693979,450.0,140.0,1270,-53,-450.0,8160.0,23016.0,534.0,-0.0,31710.0
2025-04-15 21:16:36.693979,450.0,140.0,1270,-53,-450.0,2632.0,2395.0,-690.0,-0.0,4337.0
2025-04-16 21:16:36.693979,450.0,140.0,1270,-53,-450.0,-2087.0,1505.0,-1829.0,-0.0,-2410.0
2025-04-17 21:16:36.693979,450.0,140.0,1270,-53,-450.0,7614.0,20042.0,-3318.0,-0.0,24339.0
2025-04-18 21:16:36.693979,450.0,140.0,1270,-53,-450.0,8740.0,26404.0,-2674.0,-0.0,32470.0
2025-04-19 21:16:36.693979,450.0,140.0,1270,-53,-450.0,8663.0,25945.0,-674.0,-0.0,33934.0
2025-04-20 21:16:36.693979,450.0,140.0,1270,-53,-450.0,-11087.0,42490.0,1104.0,-0.0,32507.0
2025-04-21 21:16:36.693979,450.0,140.0,1270,-53,-450.0,8359.0,24153.0,-835.0,-0.0,31677.0
2025-04-22 21:16:36.693979,450.0,140.0,1270,-53,-450.0,6485.0,14540.0,-4353.0,-0.0,16672.0
2025-04-23 21:16:36.693979,450.0,140.0,1270,-53,-450.0,-11885.0,48831.0,2462.0,-0.0,39408.0
2025-04-24 21:16:36.693979,450.0,140.0,1270,-53,-450.0,-2013.0,1401.0,-3548.0,-0.0,-4160.0
2025-04-25 21:16:36.693979,450.0,140.0,1270,-53,-450.0,-6290.0,13676.0,-1759.0,-0.0,5627.0
2025-04-26 21:16:36.693979,450.0,140.0,1270,-53,-450.0,-1494.0,771.0,-706.0,-0.0,-1429.0
2025-04-27 21:16:36.693979,450.0,140.0,1270,-53,-450.0,1610.0,896.0,-132.0,-0.0,2374.0
2025-04-28 21:16:36.693979,450.0,140.0,1270,-53,-450.0,12238.0,51769.0,809.0,-0.0,64815.0
2025-04-29 21:16:36.693979,450.0,140.0,1270,-53,-450.0,4119.0,5865.0,2220.0,-0.0,12203.0
2025-04-30 21:16:36.693979,450.0,140.0,1270,-53,-450.0,-3499.0,4232.0,-2404.0,-0.0,-1671.0
2025-05-01 21:16:36.693979,450.0,140.0,1270,-53,-450.0,10863.0,40790.0,259.0,-0.0,51911.0
2025-05-02 21:16:36.693979,450.0,140.0,1270,-53,-450.0,1254.0,544.0,-1206.0,-0.0,591.0
2025-05-03 21:16:36.693979,450.0,140.0,1270,-53,-450.0,-5552.0,10654.0,1613.0,-0.0,6715.0
2025-05-04 21:16:36.693979,450.0,140.0,1270,-53,-450.0,8862.0,27147.0,1493.0,-0.0,37502.0
2025-05-05 21:16:36.693979,450.0,140.0,1270,-53,-450.0,7137.0,17606.0,1084.0,-0.0,25827.0
2025-05-06 21:16:36.693979,450.0,140.0,1270,-53,-450.0,1184.0,484.0,-334.0,-0.0,1334.0
2025-05-07 21:16:36.693979,450.0,140.0,1270,-53,-450.0,10893.0,41017.0,-712.0,-0.0,51198.0
2025-05-08 21:16:36.693979,450.0,140.0,1270,-53,-450.0,3330.0,3833.0,-1532.0,-0.0,5631.0
2025-05-09 21:16:36.693979,450.0,140.0,1270,-53,-450.0,-5934.0,12171.0,-450.0,-0.0,5787.0
2025-05-10 21:16:36.693979,450.0,140.0,1270,-53,-450.0,-7235.0,18097.0,1520.0,-0.0,12381.0
2025-05-11 21:16:36.693979,450.0,140.0,1270,-53,-450.0,-12132.0,50881.0,189.0,-0.0,38938.0
