Date,Variance_Swap_PnL,VIX_Products_PnL,ETF_Arb_PnL,Skew_Trading_PnL,Total_Daily_PnL,Cumulative_PnL,Delta_PnL,Gamma_PnL,Vega_PnL,Theta_PnL,Sharpe_30D,Sortino_30D,Win_Rate_30D
2025-03-04 21:18:55.764064,11637.0,-11301.0,-985.0,-3094.0,-3744.0,-3744.0,3778.0,-2796.0,33881.0,-3374.0,2.47,2.49,0.66
2025-03-05 21:18:55.764064,19318.0,2137.0,1325.0,-15479.0,7302.0,3558.0,10870.0,11198.0,33607.0,-4109.0,2.0,1.06,0.59
2025-03-06 21:18:55.764064,28349.0,16095.0,15432.0,-3825.0,56051.0,59609.0,11819.0,9269.0,-19217.0,44.0,2.27,1.11,0.66
2025-03-07 21:18:55.764064,23652.0,7313.0,9659.0,-8654.0,31970.0,91579.0,9809.0,19046.0,-292.0,-4763.0,1.76,1.98,0.64
2025-03-08 21:18:55.764064,39889.0,-40.0,-1266.0,1211.0,39794.0,131374.0,21974.0,32155.0,2378.0,-505.0,2.49,3.08,0.52
2025-03-09 21:18:55.764064,22746.0,15187.0,24450.0,2677.0,65060.0,196434.0,-5341.0,10937.0,468.0,-2577.0,1.88,2.78,0.58
2025-03-10 21:18:55.764064,20094.0,-1818.0,-6695.0,-5760.0,5820.0,202255.0,4524.0,28230.0,-6883.0,-2410.0,2.18,2.33,0.67
2025-03-11 21:18:55.764064,-19940.0,22603.0,-3625.0,11171.0,10208.0,212463.0,3145.0,8760.0,20678.0,-2725.0,1.2,2.71,0.57
2025-03-12 21:18:55.764064,40713.0,21035.0,6038.0,-10326.0,57460.0,269923.0,2368.0,20071.0,29868.0,-607.0,1.24,3.02,0.61
2025-03-13 21:18:55.764064,-10701.0,-1648.0,16942.0,-10.0,4583.0,274506.0,16412.0,17322.0,6862.0,-176.0,1.68,3.17,0.67
2025-03-14 21:18:55.764064,58029.0,-6876.0,-2632.0,-2711.0,45810.0,320316.0,2146.0,26005.0,21789.0,-4357.0,2.36,3.05,0.62
2025-03-15 21:18:55.764064,-13767.0,4019.0,5383.0,6607.0,2241.0,322558.0,12191.0,5558.0,12959.0,-4483.0,1.03,2.46,0.65
2025-03-16 21:18:55.764064,44352.0,13487.0,-6807.0,6249.0,57280.0,379838.0,8741.0,6559.0,6492.0,-3297.0,1.45,1.81,0.6
