Date,Spot_Price,Forward_Price,Var_Strike,Realized_Var,Payoff_USD,Vega_Notional,ATM_IV,Convexity_Value
2025-03-04 21:16:36.693979,5066.09,5138.98,943.97,1106.65,16267903.0,38708733.0,0.1935,264.64
2025-03-05 21:16:36.693979,5170.03,5244.42,1056.81,782.34,-27447669.0,40957070.0,0.2048,753.37
2025-03-06 21:16:36.693979,5182.18,5256.74,673.42,828.46,15503914.0,32694442.0,0.1635,240.37
2025-03-07 21:16:36.693979,5236.06,5311.4,931.25,485.99,-44525934.0,38447062.0,0.1922,1982.56
2025-03-08 21:16:36.693979,5103.67,5177.1,1350.09,1278.58,-7150527.0,46292533.0,0.2315,51.13
2025-03-09 21:16:36.693979,5191.28,5265.98,735.16,646.17,-8898490.0,34160199.0,0.1708,79.18
2025-03-10 21:16:36.693979,5119.1,5192.76,1343.57,1238.88,-10468872.0,46180683.0,0.2309,109.6
2025-03-11 21:16:36.693979,5040.55,5113.07,1469.2,1553.42,8421807.0,48291486.0,0.2415,70.93
2025-03-12 21:16:36.693979,5172.47,5246.89,674.4,739.67,6526494.0,32718234.0,0.1636,42.6
2025-03-13 21:16:36.693979,5145.58,5219.61,801.03,991.21,19018146.0,35657709.0,0.1783,361.69
2025-03-14 21:16:36.693979,5064.16,5137.03,816.52,1179.69,36316741.0,36000968.0,0.18,1318.91
2025-03-15 21:16:36.693979,5118.02,5191.66,923.46,949.7,2623356.0,38285963.0,0.1914,6.88
2025-03-16 21:16:36.693979,5140.51,5214.47,1185.62,1244.04,5841665.0,43381340.0,0.2169,34.13
2025-03-17 21:16:36.693979,5088.53,5161.74,911.12,684.87,-22625589.0,38029305.0,0.1901,511.92
2025-03-18 21:16:36.693979,5145.41,5219.44,1098.64,1197.47,9882385.0,41759769.0,0.2088,97.66
2025-03-19 21:16:36.693979,5054.86,5127.59,1318.44,1287.2,-3123884.0,45746662.0,0.2287,9.76
2025-03-20 21:16:36.693979,5121.86,5195.56,1320.43,692.23,-62820335.0,45781236.0,0.2289,3946.39
2025-03-21 21:16:36.693979,5103.68,5177.11,1626.09,1682.77,5667903.0,50804554.0,0.254,32.13
2025-03-22 21:16:36.693979,5150.13,5224.23,1166.38,1108.06,-5831511.0,43027840.0,0.2151,34.01
2025-03-23 21:16:36.693979,5193.26,5267.98,1267.02,1200.77,-6624778.0,44845752.0,0.2242,43.89
2025-03-24 21:16:36.693979,5213.62,5288.63,1140.16,891.44,-24871965.0,42541463.0,0.2127,618.61
2025-03-25 21:16:36.693979,5144.94,5218.97,1495.56,1743.53,24797462.0,48722736.0,0.2436,614.91
2025-03-26 21:16:36.693979,5256.39,5332.02,1204.34,1280.09,7574871.0,43722454.0,0.2186,57.38
2025-03-27 21:16:36.693979,5199.85,5274.67,1487.18,1363.21,-12396832.0,48585979.0,0.2429,153.68
2025-03-28 21:16:36.693979,5163.73,5238.02,1349.18,1296.48,-5270046.0,46277025.0,0.2314,27.77
2025-03-29 21:16:36.693979,5229.52,5304.76,1407.06,1207.76,-19930271.0,47259213.0,0.2363,397.22
2025-03-30 21:16:36.693979,5210.09,5285.06,1185.68,1645.26,45958429.0,43382398.0,0.2169,2112.18
2025-03-31 21:16:36.693979,5225.7,5300.88,1301.11,934.13,-36698105.0,45445087.0,0.2272,1346.75
2025-04-01 21:16:36.693979,5265.38,5341.14,1374.75,1095.61,-27914531.0,46713434.0,0.2336,779.22
2025-04-02 21:16:36.693979,5328.78,5405.45,1363.2,1152.72,-21048322.0,46516809.0,0.2326,443.03
2025-04-03 21:16:36.693979,5236.19,5311.52,1211.16,1776.98,56581808.0,43846099.0,0.2192,3201.5
2025-04-04 21:16:36.693979,5286.6,5362.67,1407.94,2088.38,68043644.0,47273980.0,0.2364,4629.94
2025-04-05 21:16:36.693979,5191.56,5266.26,1493.17,1701.37,20820733.0,48683749.0,0.2434,433.5
2025-04-06 21:16:36.693979,5235.39,5310.71,1263.49,1595.37,33188139.0,44783202.0,0.2239,1101.45
2025-04-07 21:16:36.693979,5292.75,5368.9,1012.52,1637.87,62534608.0,40089605.0,0.2004,3910.58
2025-04-08 21:16:36.693979,5310.65,5387.06,1260.39,1007.03,-25335868.0,44728343.0,0.2236,641.91
