Date,VIX_Spot,VIX_1M_Future,VIX_2M_Future,VIX_3M_Future,Term_Structure_Regime,Roll_Yield_1M_pct,Mean_Reversion_Signal,Forecast_7D,Trade_Recommendation
2025-03-04 21:16:36.693979,13.65,14.75,15.7,16.39,Contango,8.0,-0.87,14.56,Hold
2025-03-05 21:16:36.693979,13.41,14.48,15.42,16.09,Contango,8.0,-0.92,14.16,Hold
2025-03-06 21:16:36.693979,15.71,15.73,16.64,17.15,Flat,0.12,-0.46,15.53,Hold
2025-03-07 21:16:36.693979,16.97,17.24,17.12,18.19,Flat,1.6,-0.21,16.09,Hold
2025-03-08 21:16:36.693979,16.95,17.72,17.66,18.64,Flat,4.49,-0.21,20.76,Hold
2025-03-09 21:16:36.693979,13.06,14.11,15.02,15.67,Contango,8.0,-0.99,13.84,Hold
2025-03-10 21:16:36.693979,12.36,13.35,14.21,14.83,Contango,8.0,-1.13,13.02,Hold
2025-03-11 21:16:36.693979,21.5,21.77,21.67,22.73,Flat,1.28,0.7,22.21,Hold
2025-03-12 21:16:36.693979,17.54,18.15,18.89,18.09,Flat,3.53,-0.09,16.77,Hold
2025-03-13 21:16:36.693979,24.49,25.58,25.72,25.26,Flat,4.46,1.3,25.3,Hold
2025-03-14 21:16:36.693979,23.06,23.73,24.65,23.85,Flat,2.9,1.01,21.11,Hold
2025-03-15 21:16:36.693979,21.2,20.88,21.27,21.79,Flat,-1.49,0.64,21.99,Hold
2025-03-16 21:16:36.693979,17.98,17.9,19.22,18.99,Flat,-0.49,-0.0,16.7,Hold
2025-03-17 21:16:36.693979,21.0,21.05,21.41,21.99,Flat,0.24,0.6,22.53,Hold
2025-03-18 21:16:36.693979,19.28,19.23,20.54,19.75,Flat,-0.23,0.26,21.08,Hold
2025-03-19 21:16:36.693979,16.68,17.2,17.92,18.02,Flat,3.12,-0.26,19.57,Hold
2025-03-20 21:16:36.693979,15.05,15.6,15.61,15.44,Flat,3.64,-0.59,15.2,Hold
2025-03-21 21:16:36.693979,15.8,15.54,16.94,16.73,Flat,-1.66,-0.44,17.67,Hold
2025-03-22 21:16:36.693979,21.87,22.79,21.87,23.51,Flat,4.2,0.77,19.8,Hold
2025-03-23 21:16:36.693979,16.98,17.22,17.1,18.33,Flat,1.43,-0.2,18.12,Hold
